RPC,Description,Lithology,Vp,Vs,Rho
104680,NAVAJO ARCO 2,sandstone,3606.6,2074.2,2162.0
104662,NAVAJO ARCO 2,sandstone,3520.5,2169.3,2162.0
104574,FERRON 82-3 1677.5,sandstone,3445.5,2315.4,2428.0
104841,KIAMICHI FORMA. 1,sandstone,3330.0,1935.0,2066.0
104583,FERRON 82-3 1677.5,sandstone,4110.6,2642.1,2428.0
104754,NAVAJO ARCO REMOL 1,sandstone,3252.9,1627.5,2160.0
104667,NAVAJO ARCO 2,sandstone,3376.5,1848.9,2162.0
104688,NAVAJO ARCO 3,sandstone,3226.2,1947.9,2084.0
104648,NAVAJO ARCO 2,sandstone,3062.1,1961.1,2162.0
104702,NAVAJO ARCO 3,sandstone,3685.2,2142.6,2084.0
104775,NAVAJO ARCO REMOL 3,sandstone,3188.1,1741.5,2045.0
104628,FERRON 82-3 1677.5,sandstone,4427.4,2733.0,2395.0
104659,NAVAJO ARCO 2,sandstone,3481.2,2198.1,2162.0
104771,NAVAJO ARCO REMOL 3,sandstone,3111.6,1521.3,2045.0
104632,FERRON 82-3 1677.5,sandstone,4443.3,2785.2,2395.0
104650,NAVAJO ARCO 2,sandstone,3372.9,2148.6,2162.0
104631,FERRON 82-3 1677.5,sandstone,4357.2,2720.7,2395.0
105090,Gas sand tight streak,sandstone,3250.0,1780.0,2440.0
104713,NAVAJO ARCO REMOL 3,sandstone,5850.0,3379.0,2138.0
104614,FERRON 82-3 1677.5,sandstone,4524.6,2726.7,2428.0
104602,FERRON 82-3 1677.5,sandstone,4187.4,2438.7,2428.0
104891,KIAMICHI REMOLD 3,sandstone,3053.7,1542.3,2126.0
104844,KIAMICHI FORMA. 1,sandstone,3269.4,1966.8,2066.0
104603,FERRON 82-3 1677.5,sandstone,4289.1,2541.6,2428.0
104684,NAVAJO ARCO 2,sandstone,3643.8,2111.4,2162.0
104577,FERRON 82-3 1677.5,sandstone,3854.1,2400.9,2428.0
104595,FERRON 82-3 1677.5,sandstone,4056.6,2389.2,2428.0
104613,FERRON 82-3 1677.5,sandstone,4467.6,2685.3,2428.0
104704,NAVAJO ARCO 3,sandstone,3792.0,2122.5,2084.0
104637,FERRON 82-3 1677.5,sandstone,4541.4,2833.2,2395.0
104636,FERRON 82-3 1677.5,sandstone,4459.5,2794.8,2395.0
104699,NAVAJO ARCO 3,sandstone,3729.3,2094.0,2084.0
104832,KIAMICHI FORMA. 1,sandstone,3081.3,1761.6,2066.0
104848,KIAMICHI REMOLD 2,sandstone,3289.0,2182.0,2117.0
104695,NAVAJO ARCO 3,sandstone,3479.1,2088.6,2084.0
104661,NAVAJO ARCO 2,sandstone,3481.2,2192.1,2162.0
104778,NAVAJO ARCO REMOL 3,sandstone,3196.2,1746.3,2045.0
104610,FERRON 82-3 1677.5,sandstone,4475.4,2682.3,2428.0
104597,FERRON 82-3 1677.5,sandstone,4166.1,2480.4,2428.0
104831,KIAMICHI FORMA. 1,sandstone,3235.8,2103.3,2066.0
104576,FERRON 82-3 1677.5,sandstone,3714.9,2391.6,2428.0
104686,NAVAJO ARCO 2,sandstone,3606.6,2104.2,2162.0
104626,FERRON 82-3 1677.5,sandstone,4259.4,2636.7,2395.0
104819,KIAMICHI FORMA. 4,sandstone,3091.5,1610.1,2108.0
104642,NAVAJO ARCO 2,sandstone,3028.5,1893.9,2162.0
